151,19640330,1330,1. FC Saarbrücken,Borussia Dortmund,2,1,0,0
152,19640330,1700,Frankfurter SG Eintracht,Hamburger SV,2,2,1,1
153,19640215,1430,Hamburger SV,FC Schalke 04,3,1,0,0
154,19640215,1430,1. FC Nürnberg,1. FC Saarbrücken,2,0,1,0
155,19640215,1430,1. FC Köln,Hertha BSC,3,1,2,0
156,19640215,1430,Borussia Dortmund,Karlsruher SC,3,2,2,1
157,19640215,1430,1. FC Kaiserslautern,TSV 1860 München,2,1,1,0
158,19640215,1430,Eintracht Braunschweig,Frankfurter SG Eintracht,0,3,0,2
159,19640215,1430,VfB Stuttgart,Preußen Münster,0,3,0,1
160,19640215,1430,Meidericher SV,Werder Bremen,1,0,0,0
161,19640222,1430,Werder Bremen,1. FC Köln,1,1,1,0
162,19640222,1430,Preußen Münster,1. FC Kaiserslautern,1,0,0,0
163,19640222,1430,Hertha BSC,Hamburger SV,1,2,0,1
164,19640222,1430,Karlsruher SC,1. FC Nürnberg,1,3,1,2
165,19640222,1430,FC Schalke 04,Eintracht Braunschweig,2,0,1,0
166,19640222,1430,Frankfurter SG Eintracht,Borussia Dortmund,2,1,1,0
167,19640222,1430,1. FC Saarbrücken,VfB Stuttgart,0,1,0,0
168,19640331,1915,TSV 1860 München,Meidericher SV,0,0,0,0
169,19640229,1430,1. FC Köln,Frankfurter SG Eintracht,1,1,1,0
170,19640229,1430,1. FC Nürnberg,TSV 1860 München,2,2,1,1
171,19640229,1430,VfB Stuttgart,Karlsruher SC,4,1,3,0
172,19640229,1430,Meidericher SV,FC Schalke 04,3,0,2,0
173,19640229,1430,Borussia Dortmund,Preußen Münster,0,0,0,0
174,19640229,1430,1. FC Kaiserslautern,1. FC Saarbrücken,2,4,1,2
175,19640326,1830,Hamburger SV,Werder Bremen,1,1,1,1
176,19640330,1830,Eintracht Braunschweig,Hertha BSC,1,1,1,1
177,19640307,1530,TSV 1860 München,Hamburger SV,9,2,3,1
178,19640307,1530,Preußen Münster,1. FC Köln,0,2,0,2
179,19640307,1530,FC Schalke 04,1. FC Nürnberg,4,1,2,1
180,19640307,1530,Frankfurter SG Eintracht,VfB Stuttgart,3,2,2,1
181,19640307,1530,Hertha BSC,Borussia Dortmund,0,0,0,0
182,19640307,1530,1. FC Saarbrücken,Meidericher SV,0,2,0,1
183,19640307,1530,Karlsruher SC,1. FC Kaiserslautern,5,1,2,0
184,19640307,1530,Werder Bremen,Eintracht Braunschweig,2,3,0,2
185,19640314,1530,Borussia Dortmund,VfB Stuttgart,7,1,2,1
186,19640314,1530,Werder Bremen,FC Schalke 04,1,0,1,0
187,19640314,1530,Eintracht Braunschweig,Hamburger SV,2,1,0,0
188,19640314,1530,Meidericher SV,1. FC Köln,2,2,2,0
189,19640314,1530,1. FC Kaiserslautern,1. FC Nürnberg,3,1,3,0
190,19640314,1530,TSV 1860 München,Preußen Münster,3,1,0,1
191,19640314,1530,Frankfurter SG Eintracht,Hertha BSC,4,0,0,0
192,19640314,1530,Karlsruher SC,1. FC Saarbrücken,2,2,0,2
193,19640321,1530,1. FC Köln,Eintracht Braunschweig,4,1,1,0
194,19640321,1530,VfB Stuttgart,1. FC Kaiserslautern,4,0,2,0
195,19640321,1530,Hamburger SV,Meidericher SV,3,3,0,1
196,19640321,1530,FC Schalke 04,Frankfurter SG Eintracht,1,2,0,0
197,19640321,1530,1. FC Saarbrücken,TSV 1860 München,1,2,0,1
198,19640321,1530,Preußen Münster,Karlsruher SC,0,0,0,0
199,19640321,1530,1. FC Nürnberg,Borussia Dortmund,4,0,2,0
200,19640415,1900,Hertha BSC,Werder Bremen,5,2,2,1
201,19640404,1600,Hamburger SV,1. FC Köln,1,1,1,0
202,19640404,1600,Meidericher SV,Eintracht Braunschweig,5,1,3,1
203,19640404,1600,Preußen Münster,1. FC Saarbrücken,2,1,1,1
204,19640404,1600,1. FC Kaiserslautern,Borussia Dortmund,0,1,0,1
205,19640404,1600,Karlsruher SC,TSV 1860 München,1,0,1,0
206,19640404,1600,Hertha BSC,FC Schalke 04,1,0,1,0
207,19640404,1600,1. FC Nürnberg,VfB Stuttgart,0,0,0,0
208,19640404,1600,Frankfurter SG Eintracht,Werder Bremen,7,0,2,0
209,19640411,1600,1. FC Köln,1. FC Nürnberg,5,0,2,0
210,19640411,1600,VfB Stuttgart,Hamburger SV,2,2,1,1
211,19640411,1600,Borussia Dortmund,Meidericher SV,0,0,0,0
212,19640411,1600,TSV 1860 München,Frankfurter SG Eintracht,1,1,0,0
213,19640411,1600,FC Schalke 04,Preußen Münster,1,2,0,1
214,19640411,1600,Eintracht Braunschweig,1. FC Kaiserslautern,0,1,0,1
215,19640411,1600,1. FC Saarbrücken,Hertha BSC,3,0,3,0
216,19640411,1600,Werder Bremen,Karlsruher SC,0,0,0,0
217,19640418,1600,1. FC Köln,Borussia Dortmund,5,2,1,1
218,19640418,1600,Meidericher SV,1. FC Nürnberg,0,0,0,0
219,19640418,1600,Eintracht Braunschweig,VfB Stuttgart,2,0,2,0
220,19640418,1600,Karlsruher SC,Hertha BSC,1,1,0,0
221,19640418,1600,TSV 1860 München,FC Schalke 04,7,1,3,1
222,19640418,1600,Hamburger SV,1. FC Kaiserslautern,7,3,1,0
